scheme_code,scheme_name,amc,category
100125,HDFC Income Fund,HDFC Asset Management Company Limited,Debt Scheme - Medium to Long Duration Fund
100126,HDFC Income Fund,HDFC Asset Management Company Limited,Debt Scheme - Medium to Long Duration Fund
100127,HDFC Income Fund,HDFC Asset Management Company Limited,Debt Scheme - Medium to Long Duration Fund
100128,HDFC Income Fund,HDFC Asset Management Company Limited,Debt Scheme - Medium to Long Duration Fund
100129,HDFC Income Fund,HDFC Asset Management Company Limited,Debt Scheme - Medium to Long Duration Fund
100130,HDFC Income Fund,HDFC Asset Management Company Limited,Debt Scheme - Medium to Long Duration Fund
100174,Quant ELSS Tax Saver Fund,quant Money Managers Limited,Equity Scheme - ELSS
100175,Quant ELSS Tax Saver Fund,quant Money Managers Limited,Equity Scheme - ELSS
100176,Quant Small Cap Fund,quant Money Managers Limited,Equity Scheme - Small Cap Fund
100177,Quant Small Cap Fund,quant Money Managers Limited,Equity Scheme - Small Cap Fund
100218,JM Large Cap Fund,JM Financial Asset Management Limited,Equity Scheme - Large Cap Fund
100219,JM Large Cap Fund,JM Financial Asset Management Limited,Equity Scheme - Large Cap Fund
100220,JM Aggressive Hybrid Fund,JM Financial Asset Management Limited,Hybrid Scheme - Aggressive Hybrid Fund
100221,JM Aggressive Hybrid Fund,JM Financial Asset Management Limited,Hybrid Scheme - Aggressive Hybrid Fund
100222,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100223,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100224,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100225,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100226,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100227,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100228,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100233,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100234,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100235,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100236,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100239,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100240,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100242,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100244,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100247,JM Liquid Fund,JM Financial Asset Management Limited,Debt Scheme - Liquid Fund
100248,JM G-Sec Fund,JM Financial Asset Management Limited,Debt Scheme - Gilt Fund
100249,JM G-Sec Fund,JM Financial Asset Management Limited,Debt Scheme - Gilt Fund
100250,JM G-Sec Fund,JM Financial Asset Management Limited,Debt Scheme - Gilt Fund
100253,JM G-Sec Fund,JM Financial Asset Management Limited,Debt Scheme - Gilt Fund
100254,JM Value Fund,JM Financial Asset Management Limited,Equity Scheme - Value Fund
100264,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100265,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100266,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100267,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100268,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100269,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100274,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100280,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100281,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Gilt Fund
100286,Kotak Aggressive Hybrid Fund,Kotak Mahindra Asset Management Company Limited.,Hybrid Scheme - Aggressive Hybrid Fund
100291,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100292,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100293,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100294,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100295,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100296,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100297,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100299,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100300,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100302,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100303,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100304,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100305,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100306,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100307,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100308,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100309,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Debt Scheme - Medium to Long Duration Fund
100312,LIC MF Flexi Cap Fund,LIC Mutual Fund Asset Management Limited,Equity Scheme - Flexi Cap Fund
100313,LIC MF Flexi Cap Fund,LIC Mutual Fund Asset Management Limited,Equity Scheme - Flexi Cap Fund
100314,LIC MF Medium to Long Duration Fund,LIC Mutual Fund Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100315,LIC MF Medium to Long Duration Fund,LIC Mutual Fund Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100316,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Debt Scheme - Gilt Fund
100317,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Debt Scheme - Gilt Fund
100318,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Debt Scheme - Gilt Fund
100319,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Debt Scheme - Gilt Fund
100320,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Debt Scheme - Gilt Fund
100321,LIC MF Aggressive Hybrid Fund,LIC Mutual Fund Asset Management Limited,Hybrid Scheme - Aggressive Hybrid Fund
100322,LIC MF Aggressive Hybrid Fund,LIC Mutual Fund Asset Management Limited,Hybrid Scheme - Aggressive Hybrid Fund
100323,LIC MF Aggressive Hybrid Fund,LIC Mutual Fund Asset Management Limited,Hybrid Scheme - Aggressive Hybrid Fund
100325,LIC MF Unit Linked Insurance Scheme (ULIS),LIC Mutual Fund Asset Management Limited,Equity Scheme - ELSS
100332,LIC MF Large Cap Fund,LIC Mutual Fund Asset Management Limited,Equity Scheme - Large Cap Fund
100337,SaharaTax Gain,Sahara Asset Management Company Private Limited,ELSS
100338,SaharaTax Gain,Sahara Asset Management Company Private Limited,ELSS
100348,ICICI Prudential Large & Mid Cap Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - Large & Mid Cap Fund
100349,ICICI Prudential Large & Mid Cap Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - Large & Mid Cap Fund
100351,ICICI Prudential FMCG Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - Sectoral/ Thematic
100352,ICICI Prudential FMCG Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - Sectoral/ Thematic
100353,ICICI Prudential ELSS Tax Saver Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - ELSS
100354,ICICI Prudential ELSS Tax Saver Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - ELSS
100355,ICICI Prudential Equity & Debt Fund,ICICI Prudential Asset Management Company Limited,Hybrid Scheme - Aggressive Hybrid Fund
100356,ICICI Prudential Equity & Debt Fund,ICICI Prudential Asset Management Company Limited,Hybrid Scheme - Aggressive Hybrid Fund
100357,ICICI Prudential Liquid Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Liquid Fund
100359,ICICI Prudential Liquid Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Liquid Fund
100363,ICICI Prudential Technology Fund,ICICI Prudential Asset Management Company Limited,Equity Scheme - Sectoral/ Thematic
100364,ICICI Prudential Long Term Bond Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Long Duration Fund
100365,ICICI Prudential Long Term Bond Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Long Duration Fund
100366,ICICI Prudential Long Term Bond Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Long Duration Fund
100367,ICICI Prudential Long Term Bond Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Long Duration Fund
100368,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Gilt Fund
100369,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Gilt Fund
100370,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Gilt Fund
100371,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Gilt Fund
100372,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Debt Scheme - Gilt Fund
100373,ICICI Prudential Premier,ICICI Prudential Asset Management Company Limited,Balanced
100375,Nippon India Growth Mid Cap Fund,Nippon Life India Asset Management Limited,Equity Scheme - Mid Cap Fund
100376,Nippon India Growth Mid Cap Fund,Nippon Life India Asset Management Limited,Equity Scheme - Mid Cap Fund
100377,Nippon India Growth Mid Cap Fund,Nippon Life India Asset Management Limited,Equity Scheme - Mid Cap Fund
100378,Nippon India Vision Large & Mid Cap Fund,Nippon Life India Asset Management Limited,Equity Scheme - Large & Mid Cap Fund
100379,Nippon India Vision Large & Mid Cap Fund,Nippon Life India Asset Management Limited,Equity Scheme - Large & Mid Cap Fund
100380,Nippon India Vision Large & Mid Cap Fund,Nippon Life India Asset Management Limited,Equity Scheme - Large & Mid Cap Fund
100383,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100384,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100385,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100386,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100387,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100388,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100395,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100414,Tata Aggressive Hybrid Fund,Tata Asset Management Limited,Hybrid Scheme - Aggressive Hybrid Fund
100415,Tata Ethical Fund,Tata Asset Management Limited,Equity Scheme - Sectoral/ Thematic
100417,Tata Income Fund,Tata Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100418,Tata Income Fund,Tata Asset Management Limited,Debt Scheme - Medium to Long Duration Fund
100470,Franklin India Large Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Large Cap Fund
100471,Franklin India Large Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Large Cap Fund
100472,Franklin India Mid Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Mid Cap Fund
100473,Franklin India Mid Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Mid Cap Fund
100474,Tata ELSS Fund,Tata Asset Management Limited,Equity Scheme - ELSS
100475,Tata Large Cap Fund,Tata Asset Management Limited,Equity Scheme - Large Cap Fund
100476,Taurus Flexi Cap Fund,Taurus Asset Management Company Limited,Equity Scheme - Flexi Cap Fund
100477,Taurus Mid Cap Fund,Taurus Asset Management Company Limited,Equity Scheme - Mid Cap Fund
100480,Taurus ELSS Tax Saver Fund,Taurus Asset Management Company Limited,Equity Scheme - ELSS
100484,Franklin India NSE Nifty 50 Index Fund,Franklin Templeton Asset Management (India) Private Limited,Other Scheme - Index Funds
100488,Franklin India Government Securities Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Gilt Fund
100492,Franklin India Government Securities Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Gilt Fund
100493,Franklin India Government Securities Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Gilt Fund
100494,Franklin India Government Securities Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Gilt Fund
100496,Templeton India Value Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Value Fund
100497,Templeton India Value Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Value Fund
100498,Franklin India Dynamic Accrual Fund (No. of segregated portfolios- 3),Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Dynamic Bond
100499,Franklin India Dynamic Accrual Fund (No. of segregated portfolios- 3),Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Dynamic Bond
100503,Franklin India Low Duration Fund (No. of Segregated Portfolios-2),Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Low Duration Fund
100504,Franklin India Low Duration Fund (No. of Segregated Portfolios-2),Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Low Duration Fund
100519,Franklin India Flexi Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Flexi Cap Fund
100520,Franklin India Flexi Cap Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Flexi Cap Fund
100521,Franklin India Technology Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Sectoral/ Thematic
100522,Franklin India Technology Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Sectoral/ Thematic
100524,Franklin India Opportunities Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - Sectoral/ Thematic
100525,Franklin India ELSS Tax Saver Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - ELSS
100526,Franklin India ELSS Tax Saver Fund,Franklin Templeton Asset Management (India) Private Limited,Equity Scheme - ELSS
100527,Franklin India Corporate Debt Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Corporate Bond Fund
100528,Franklin India Corporate Debt Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Corporate Bond Fund
100529,Franklin India Corporate Debt Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Corporate Bond Fund
100530,Franklin India Corporate Debt Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Corporate Bond Fund
100531,Franklin India Corporate Debt Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Corporate Bond Fund
100532,Franklin India Corporate Debt Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Corporate Bond Fund
100535,Franklin India Retirement Fund,Franklin Templeton Asset Management (India) Private Limited,Solution Oriented Scheme - Retirement Fund
100536,Franklin India Retirement Fund,Franklin Templeton Asset Management (India) Private Limited,Solution Oriented Scheme - Retirement Fund
100537,Franklin India Liquid Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Liquid Fund
100538,Franklin India Liquid Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Liquid Fund
100541,Franklin India Liquid Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Liquid Fund
100545,Franklin India Liquid Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Liquid Fund
100546,Franklin India Liquid Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Liquid Fund
100547,Franklin India Liquid Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Liquid Fund
100548,Franklin India Liquid Fund,Franklin Templeton Asset Management (India) Private Limited,Debt Scheme - Liquid Fund
100549,Franklin India Aggressive Hybrid Fund,Franklin Templeton Asset Management (India) Private Limited,Hybrid Scheme - Aggressive Hybrid Fund
100550,Franklin India Aggressive Hybrid Fund,Franklin Templeton Asset Management (India) Private Limited,Hybrid Scheme - Aggressive Hybrid Fund
100593,Canara Robeco ELSS Tax Saver,Canara Robeco Asset Management Company Limited,Equity Scheme - ELSS
100596,Canara Robeco Gilt Fund,Canara Robeco Asset Management Company Limited,Debt Scheme - Gilt Fund
100597,Canara Robeco Gilt Fund,Canara Robeco Asset Management Company Limited,Debt Scheme - Gilt Fund
100600,Canara Robeco Conservative Hybrid Fund,Canara Robeco Asset Management Company Limited,Hybrid Scheme - Conservative Hybrid Fund
100601,Canara Robeco Conservative Hybrid Fund,Canara Robeco Asset Management Company Limited,Hybrid Scheme - Conservative Hybrid Fund
100602,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Medium Duration Fund
100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Medium Duration Fund
100604,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Medium Duration Fund
100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Medium Duration Fund
100609,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Medium Duration Fund
100610,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Medium Duration Fund
100614,Sundaram Value Fund,Sundaram Asset Management Company Ltd,Equity Scheme - Value Fund
100630,Quant Multi Cap Fund,quant Money Managers Limited,Equity Scheme - Multi Cap Fund
100631,Quant Multi Cap Fund,quant Money Managers Limited,Equity Scheme - Multi Cap Fund
100636,Z-REDEEMED-SBI MOEF 95,SBI Funds Management Limited,Balanced
100637,Z-OLD-SBI MMPS 93,SBI Funds Management Limited,Growth
100638,SBI MEDIUM TO LONG DURATION FUND,SBI Funds Management Limited,Debt Scheme - Medium to Long Duration Fund
100639,SBI MEDIUM TO LONG DURATION FUND,SBI Funds Management Limited,Debt Scheme - Medium to Long Duration Fund
100640,SBI MEDIUM TO LONG DURATION FUND,SBI Funds Management Limited,Debt Scheme - Medium to Long Duration Fund
100641,SBI ULTRA SHORT DURATION FUND,SBI Funds Management Limited,Debt Scheme - Ultra Short Duration Fund
100643,SBI TECHNOLOGY OPPORTUNITIES FUND,SBI Funds Management Limited,Equity Scheme - Sectoral/ Thematic
100644,SBI HEALTHCARE OPPORTUNITIES FUND,SBI Funds Management Limited,Equity Scheme - Sectoral/ Thematic
100645,SBI CONSUMPTION OPPORTUNITIES FUND,SBI Funds Management Limited,Equity Scheme - Sectoral/ Thematic
100646,UTI - Unit Linked Insurance Plan,UTI Asset Mgmt. Co. Ltd.,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage
100650,UTI - Large Cap Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Large Cap Fund
100651,UTI - Large Cap Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Large Cap Fund
100663,UTI Large & Mid Cap Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Large & Mid Cap Fund
100664,UTI Large & Mid Cap Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Large & Mid Cap Fund
100668,UTI - Flexi Cap Fund.,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Flexi Cap Fund
100669,UTI - Flexi Cap Fund.,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Flexi Cap Fund
100678,UTI Children's Hybrid Fund,UTI Asset Mgmt. Co. Ltd.,Solution Oriented Scheme - Children s Fund
100682,UTI Retirement Fund,UTI Asset Mgmt. Co. Ltd.,Solution Oriented Scheme - Retirement Fund
100684,UTI Aggressive Hybrid Fund,UTI Asset Mgmt. Co. Ltd.,Hybrid Scheme - Aggressive Hybrid Fund
100685,UTI Aggressive Hybrid Fund,UTI Asset Mgmt. Co. Ltd.,Hybrid Scheme - Aggressive Hybrid Fund
100721,UTI - Money Market Fund,UTI Asset Mgmt. Co. Ltd.,Debt Scheme - Money Market Fund
100722,UTI - Money Market Fund,UTI Asset Mgmt. Co. Ltd.,Debt Scheme - Money Market Fund
100723,UTI - Money Market Fund,UTI Asset Mgmt. Co. Ltd.,Debt Scheme - Money Market Fund
100724,UTI - Money Market Fund,UTI Asset Mgmt. Co. Ltd.,Debt Scheme - Money Market Fund
100725,UTI - Money Market Fund,UTI Asset Mgmt. Co. Ltd.,Debt Scheme - Money Market Fund
100739,UTI - MNC Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Sectoral/ Thematic
100740,UTI - MNC Fund,UTI Asset Mgmt. Co. Ltd.,Equity Scheme - Sectoral/ Thematic
100741,UTI Medium to Long Duration Fund,UTI Asset Mgmt. Co. Ltd.,Debt Scheme - Medium to Long Duration Fund
100742,UTI Medium to Long Duration Fund,UTI Asset Mgmt. Co. Ltd.,Debt Scheme - Medium to Long Duration Fund
100743,UTI Medium to Long Duration Fund,UTI Asset Mgmt. Co. Ltd.,Debt Scheme - Medium to Long Duration Fund
100780,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Banking and PSU Fund
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Banking and PSU Fund
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Banking and PSU Fund
100783,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Banking and PSU Fund
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Banking and PSU Fund
100785,Sundaram Corporate Bond Fund,Sundaram Asset Management Company Ltd,Debt Scheme - Corporate Bond Fund
100786,Sundaram Corporate Bond Fund,Sundaram Asset Management Company Ltd,Debt Scheme - Corporate Bond Fund
100787,Sundaram Corporate Bond Fund,Sundaram Asset Management Company Ltd,Debt Scheme - Corporate Bond Fund
100788,Sundaram Corporate Bond Fund,Sundaram Asset Management Company Ltd,Debt Scheme - Corporate Bond Fund
100789,Sundaram Corporate Bond Fund,Sundaram Asset Management Company Ltd,Debt Scheme - Corporate Bond Fund
100793,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund),Sundaram Asset Management Company Ltd,Debt Scheme - Banking and PSU Fund
