transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,state,kyc_status
TXN00047,INV01948,100039,2025-09-06,SIP,292761,Gujarat,Verified
TXN00048,INV04988,100124,2024-05-04,Lumpsum,13658,Karnataka,Verified
TXN00049,INV02870,100046,2024-09-17,SIP,98978,Delhi,Verified
TXN00050,INV02710,100119,2024-06-23,SIP,213645,Telangana,Verified
TXN00051,INV02515,100084,2025-09-27,Lumpsum,194477,Maharashtra,Verified
TXN00052,INV00016,100129,2024-07-24,Lumpsum,281115,Tamil Nadu,Verified
TXN00053,INV02565,100051,2024-01-22,SIP,278573,Tamil Nadu,Verified
TXN00054,INV04529,100044,2025-06-06,SIP,409735,Delhi,Verified
TXN00055,INV02427,100089,2024-05-08,SIP,184612,Tamil Nadu,Verified
TXN00056,INV04837,100064,2025-03-11,Lumpsum,145926,Maharashtra,Verified
TXN00057,INV02123,100057,2025-12-12,Redemption,499215,Tamil Nadu,Verified
TXN00058,INV02006,100047,2024-02-20,Lumpsum,414012,Tamil Nadu,Verified
TXN00059,INV02660,100126,2025-10-06,SIP,418676,Maharashtra,Verified
TXN00060,INV03286,100038,2025-11-27,SIP,335740,Maharashtra,Verified
TXN00061,INV02548,100079,2024-08-30,SIP,195091,Tamil Nadu,Verified
TXN00062,INV03391,100127,2025-11-09,SIP,178458,Karnataka,Verified
TXN00063,INV00275,100120,2025-04-21,Lumpsum,117667,Telangana,Verified
TXN00064,INV01339,100048,2024-08-15,SIP,204149,Maharashtra,Verified
TXN00065,INV02700,100081,2024-12-10,Lumpsum,276831,Telangana,Verified
TXN00066,INV00117,100051,2024-09-15,Lumpsum,492668,Tamil Nadu,Verified
TXN00067,INV00870,100048,2025-05-31,Lumpsum,421061,Gujarat,Verified
TXN00068,INV00026,100058,2024-04-04,SIP,155697,Tamil Nadu,Verified
TXN00069,INV01175,100051,2024-01-29,Lumpsum,488775,Telangana,Verified
TXN00070,INV00658,100123,2024-12-06,SIP,103041,Telangana,Verified
TXN00071,INV02632,100039,2024-08-29,Lumpsum,114973,Delhi,Verified
TXN00072,INV01601,100037,2025-03-22,Lumpsum,158699,Karnataka,Verified
TXN00073,INV02577,100042,2025-06-20,Redemption,26452,Tamil Nadu,Verified
TXN00074,INV01064,100125,2024-06-24,SIP,390219,Delhi,Verified
TXN00075,INV00173,100058,2025-05-29,Lumpsum,471294,Tamil Nadu,Verified
TXN00076,INV00677,100063,2024-03-10,SIP,434830,Gujarat,Verified
TXN00077,INV02222,100046,2025-12-11,Lumpsum,29967,Tamil Nadu,Verified
TXN00078,INV01778,100064,2024-09-30,SIP,475786,Karnataka,Verified
TXN00079,INV00452,100124,2025-01-28,Lumpsum,239826,Karnataka,Verified
TXN00080,INV00388,100058,2025-09-24,SIP,174337,Tamil Nadu,Verified
TXN00081,INV02067,100046,2024-06-16,SIP,453516,Tamil Nadu,Verified
TXN00082,INV02393,100078,2025-02-25,SIP,205477,Maharashtra,Verified
TXN00083,INV04291,100125,2025-12-30,SIP,175722,Tamil Nadu,Verified
TXN00084,INV01349,100046,2025-07-18,SIP,243979,Gujarat,Verified
TXN00085,INV00076,100034,2024-02-24,Redemption,390893,Tamil Nadu,Verified
TXN00086,INV00161,100080,2024-03-14,SIP,260168,Telangana,Verified
TXN00087,INV03622,100082,2024-09-21,Redemption,480768,Telangana,Verified
TXN00088,INV03291,100120,2024-12-30,SIP,194621,Maharashtra,Verified
TXN00089,INV04724,100084,2025-05-16,Lumpsum,393267,Telangana,Verified
TXN00090,INV04947,100057,2025-08-29,SIP,390618,Karnataka,Verified
TXN00091,INV00330,100057,2025-11-23,SIP,339807,Maharashtra,Verified
TXN00092,INV04846,100079,2025-05-12,SIP,49191,Karnataka,Verified
TXN00093,INV01701,100041,2024-10-29,Lumpsum,371509,Gujarat,Verified
TXN00094,INV01239,100033,2024-12-07,Lumpsum,139476,Karnataka,Verified
TXN00095,INV02007,100128,2025-08-14,Redemption,77398,Delhi,Verified
TXN00096,INV01982,100039,2025-09-23,SIP,95521,Maharashtra,Verified
TXN00097,INV00168,100044,2024-01-11,SIP,123824,Tamil Nadu,Verified
TXN00098,INV02428,100084,2025-02-22,SIP,165805,Tamil Nadu,Verified
TXN00099,INV04946,100085,2025-12-17,SIP,37044,Tamil Nadu,Verified
TXN00100,INV03842,100086,2024-08-24,SIP,93833,Delhi,Verified
TXN00101,INV04504,100129,2024-12-05,SIP,174450,Gujarat,Verified
TXN00102,INV00505,100057,2024-04-02,SIP,10622,Gujarat,Verified
TXN00103,INV02882,100063,2025-09-18,SIP,313708,Delhi,Verified
TXN00104,INV03770,100082,2025-08-05,Lumpsum,417491,Gujarat,Verified
TXN00105,INV01745,100123,2025-11-18,Lumpsum,391614,Telangana,Verified
TXN00106,INV02629,100044,2025-10-12,Lumpsum,391410,Delhi,Verified
TXN00107,INV01278,100127,2024-08-14,SIP,468882,Telangana,Verified
TXN00108,INV02118,100063,2024-01-30,Redemption,208679,Gujarat,Verified
TXN00109,INV00474,100088,2024-01-11,SIP,406836,Gujarat,Verified
TXN00110,INV01845,100119,2024-11-23,Lumpsum,117421,Maharashtra,Verified
TXN00111,INV00122,100126,2025-11-28,Lumpsum,103115,Gujarat,Verified
TXN00112,INV02256,100051,2024-04-03,SIP,259613,Maharashtra,Verified
TXN00113,INV01449,100042,2024-02-15,SIP,167158,Delhi,Verified
TXN00114,INV00651,100087,2024-07-13,Lumpsum,226979,Delhi,Verified
TXN00115,INV04974,100034,2025-11-25,SIP,50472,Karnataka,Verified
TXN00116,INV04564,100126,2024-01-09,SIP,86075,Delhi,Verified
TXN00117,INV01535,100087,2024-08-24,Lumpsum,159275,Gujarat,Verified
TXN00118,INV02481,100033,2025-09-06,SIP,254156,Tamil Nadu,Verified
TXN00119,INV00660,100034,2024-08-30,SIP,187743,Gujarat,Verified
TXN00120,INV02031,100124,2024-05-01,Redemption,480871,Delhi,Verified
TXN00121,INV01426,100081,2025-09-09,SIP,282817,Karnataka,Verified
TXN00122,INV03712,100080,2024-11-26,SIP,146725,Delhi,Verified
TXN00123,INV02989,100128,2024-03-26,SIP,351974,Tamil Nadu,Verified
TXN00124,INV01059,100129,2025-09-17,Lumpsum,28232,Maharashtra,Verified
TXN00125,INV00700,100080,2025-04-03,SIP,136223,Tamil Nadu,Verified
TXN00126,INV02275,100040,2024-09-08,Lumpsum,257652,Tamil Nadu,Verified
TXN00127,INV03909,100128,2024-04-13,SIP,461065,Gujarat,Verified
TXN00128,INV02476,100057,2025-05-22,SIP,386683,Karnataka,Verified
TXN00129,INV02713,100124,2025-11-01,SIP,256544,Telangana,Verified
TXN00130,INV01069,100034,2024-03-01,Redemption,321513,Gujarat,Verified
TXN00131,INV04307,100086,2025-03-05,Lumpsum,408629,Karnataka,Verified
TXN00132,INV04934,100085,2024-11-02,Lumpsum,267446,Maharashtra,Verified
TXN00133,INV03057,100128,2025-03-12,Lumpsum,114768,Tamil Nadu,Verified
TXN00134,INV00236,100041,2024-07-10,Lumpsum,388340,Gujarat,Verified
TXN00135,INV03931,100125,2024-11-05,SIP,69013,Delhi,Verified
TXN00136,INV02357,100058,2025-08-11,SIP,285846,Gujarat,Verified
TXN00137,INV01214,100042,2024-07-11,Lumpsum,66918,Gujarat,Verified
TXN00138,INV00872,100085,2025-03-06,Lumpsum,358878,Delhi,Verified
TXN00139,INV04341,100044,2025-12-16,SIP,264106,Telangana,Verified
TXN00140,INV04746,100123,2025-09-10,Redemption,140991,Maharashtra,Verified
TXN00141,INV02840,100040,2024-09-08,Lumpsum,263121,Telangana,Verified
TXN00142,INV01492,100123,2024-01-31,Redemption,178615,Telangana,Verified
TXN00143,INV01636,100040,2024-04-07,Lumpsum,198065,Delhi,Verified
TXN00144,INV00028,100089,2024-09-02,Redemption,399088,Karnataka,Verified
TXN00145,INV00574,100126,2024-10-30,SIP,281621,Tamil Nadu,Verified
TXN00146,INV01625,100082,2024-07-04,SIP,121828,Delhi,Verified
TXN00147,INV02855,100043,2025-06-06,SIP,310086,Gujarat,Verified
TXN00148,INV00902,100089,2025-12-13,SIP,492192,Gujarat,Verified
TXN00149,INV00195,100077,2024-09-15,SIP,371161,Tamil Nadu,Verified
TXN00150,INV00285,100119,2024-07-10,SIP,138756,Karnataka,Verified
TXN00151,INV03601,100084,2025-08-18,SIP,450677,Maharashtra,Verified
TXN00152,INV04134,100129,2024-04-23,Lumpsum,275174,Tamil Nadu,Verified
TXN00153,INV00439,100038,2025-11-03,Lumpsum,345318,Tamil Nadu,Verified
TXN00154,INV00761,100125,2024-02-29,SIP,481140,Telangana,Verified
TXN00155,INV02929,100129,2024-05-18,Lumpsum,456029,Telangana,Verified
TXN00156,INV04604,100128,2024-05-22,Lumpsum,144611,Tamil Nadu,Verified
TXN00157,INV03950,100040,2025-07-09,SIP,120665,Tamil Nadu,Verified
TXN00158,INV01358,100046,2024-05-13,SIP,425450,Tamil Nadu,Verified
TXN00159,INV01495,100050,2024-06-30,SIP,396123,Gujarat,Verified
TXN00160,INV02462,100126,2025-10-23,Redemption,377318,Maharashtra,Verified
TXN00161,INV01866,100126,2025-11-03,SIP,91886,Telangana,Verified
TXN00162,INV01312,100077,2025-09-19,SIP,392980,Delhi,Verified
TXN00163,INV04880,100058,2024-05-05,Lumpsum,417219,Maharashtra,Verified
TXN00164,INV02303,100124,2025-07-24,SIP,460109,Telangana,Verified
TXN00165,INV03286,100050,2024-11-07,SIP,199541,Tamil Nadu,Verified
TXN00166,INV01467,100126,2025-11-13,SIP,433210,Delhi,Verified
TXN00167,INV01830,100047,2025-05-20,SIP,265213,Maharashtra,Verified
TXN00168,INV01333,100046,2025-11-06,Lumpsum,122386,Delhi,Verified
TXN00169,INV01508,100084,2024-01-26,Redemption,215967,Gujarat,Verified
TXN00170,INV04084,100089,2025-04-08,SIP,5514,Gujarat,Verified
TXN00171,INV03022,100041,2024-03-12,SIP,131418,Telangana,Verified
TXN00172,INV04181,100041,2025-02-17,Lumpsum,90106,Karnataka,Verified
TXN00173,INV01173,100034,2024-01-08,Redemption,238054,Tamil Nadu,Verified
TXN00174,INV01917,100126,2025-02-27,SIP,79758,Tamil Nadu,Verified
TXN00175,INV03535,100034,2024-07-26,SIP,437406,Maharashtra,Verified
TXN00176,INV00691,100044,2024-11-23,SIP,179949,Karnataka,Verified
TXN00177,INV01458,100050,2024-10-24,Lumpsum,62447,Karnataka,Verified
TXN00178,INV00057,100086,2024-02-10,SIP,285599,Delhi,Verified
TXN00179,INV00685,100082,2024-10-08,SIP,15279,Karnataka,Verified
TXN00180,INV02837,100038,2024-03-19,SIP,31799,Delhi,Verified
TXN00181,INV04350,100079,2025-05-05,Lumpsum,122937,Telangana,Verified
TXN00182,INV00954,100077,2024-04-10,SIP,234298,Gujarat,Verified
TXN00183,INV02239,100078,2025-09-26,SIP,96056,Delhi,Verified
TXN00184,INV02145,100046,2024-09-14,Redemption,213607,Gujarat,Verified
TXN00185,INV00523,100123,2025-02-11,Lumpsum,186227,Telangana,Verified
TXN00186,INV00203,100057,2024-06-01,SIP,451013,Telangana,Verified
TXN00187,INV04376,100087,2024-11-01,SIP,230325,Telangana,Verified
TXN00188,INV03886,100082,2025-09-01,Lumpsum,31171,Delhi,Verified
TXN00189,INV02705,100040,2024-01-30,SIP,180290,Telangana,Verified
TXN00190,INV03168,100086,2025-11-10,Redemption,320435,Tamil Nadu,Verified
TXN00191,INV03623,100077,2024-08-26,SIP,188764,Gujarat,Verified
TXN00192,INV02473,100041,2024-10-06,SIP,37725,Telangana,Verified
TXN00193,INV04950,100037,2024-04-04,Lumpsum,397399,Karnataka,Verified
TXN00194,INV02351,100033,2024-04-29,Redemption,492650,Maharashtra,Verified
TXN00195,INV00822,100078,2024-08-20,SIP,170581,Delhi,Verified
TXN00196,INV01869,100064,2025-09-22,Lumpsum,7273,Gujarat,Verified
TXN00197,INV01927,100034,2024-11-02,SIP,200001,Maharashtra,Verified
TXN00198,INV01032,100128,2024-08-16,SIP,49571,Telangana,Verified
TXN00199,INV00772,100081,2024-12-25,SIP,10915,Telangana,Verified
TXN00200,INV00109,100119,2024-08-17,SIP,178738,Maharashtra,Verified
TXN00201,INV03005,100051,2024-09-09,Lumpsum,301962,Maharashtra,Verified
TXN00202,INV04719,100086,2024-11-10,SIP,162231,Gujarat,Verified
TXN00203,INV03039,100127,2024-11-06,Lumpsum,67533,Gujarat,Verified
TXN00204,INV03836,100038,2025-02-04,SIP,48549,Telangana,Verified
TXN00205,INV02228,100051,2024-11-19,Redemption,126699,Delhi,Verified
TXN00206,INV00277,100119,2025-10-09,SIP,36210,Gujarat,Verified
TXN00207,INV03131,100039,2024-03-13,Lumpsum,212505,Karnataka,Verified
TXN00208,INV02682,100064,2024-04-07,SIP,404964,Telangana,Verified
TXN00209,INV02984,100033,2025-04-22,Lumpsum,162521,Telangana,Verified
TXN00210,INV02833,100039,2024-01-07,Lumpsum,29079,Delhi,Verified
TXN00211,INV00097,100086,2024-10-17,SIP,73810,Delhi,Verified
TXN00212,INV02297,100038,2025-06-13,SIP,480328,Karnataka,Verified
TXN00213,INV04246,100124,2025-04-10,Lumpsum,347645,Karnataka,Verified
TXN00214,INV04046,100058,2025-03-10,SIP,483993,Telangana,Verified
TXN00215,INV02680,100088,2025-01-30,Redemption,468772,Maharashtra,Verified
TXN00216,INV00181,100042,2024-10-07,SIP,458516,Karnataka,Verified
TXN00217,INV01749,100078,2024-02-06,SIP,112468,Karnataka,Verified
TXN00218,INV01118,100034,2024-05-20,SIP,14615,Gujarat,Verified
TXN00219,INV03008,100051,2025-12-17,SIP,264110,Maharashtra,Verified
TXN00220,INV01469,100124,2025-07-27,Lumpsum,287092,Maharashtra,Verified
TXN00221,INV00352,100124,2024-08-15,SIP,489334,Gujarat,Verified
TXN00222,INV00369,100084,2025-07-05,SIP,486921,Maharashtra,Verified
TXN00223,INV02965,100058,2024-01-21,Lumpsum,47223,Maharashtra,Verified
TXN00224,INV00255,100077,2025-12-11,Lumpsum,360831,Telangana,Verified
TXN00225,INV03408,100129,2025-05-22,SIP,62162,Telangana,Verified
TXN00226,INV03620,100081,2025-09-22,SIP,94192,Karnataka,Verified
TXN00227,INV01911,100037,2024-02-20,SIP,209174,Gujarat,Verified
TXN00228,INV00174,100123,2025-05-12,SIP,268075,Telangana,Verified
TXN00229,INV00694,100089,2025-03-03,SIP,105649,Tamil Nadu,Verified
TXN00230,INV03066,100079,2024-07-19,Lumpsum,214975,Telangana,Verified
TXN00231,INV04767,100047,2024-11-29,Lumpsum,335940,Delhi,Verified
TXN00232,INV03923,100123,2025-07-12,SIP,278880,Telangana,Verified
TXN00233,INV01366,100081,2024-12-23,Redemption,215012,Maharashtra,Verified
TXN00234,INV04433,100044,2024-06-22,SIP,50618,Delhi,Verified
TXN00235,INV02765,100063,2024-10-30,SIP,410109,Gujarat,Verified
TXN00236,INV04929,100084,2025-04-13,SIP,132339,Gujarat,Verified
TXN00237,INV00232,100089,2025-03-27,SIP,104587,Gujarat,Verified
TXN00238,INV00939,100084,2025-02-22,SIP,57315,Karnataka,Verified
TXN00239,INV02352,100051,2025-03-07,Redemption,460673,Tamil Nadu,Verified
TXN00240,INV03385,100087,2024-08-08,SIP,96192,Tamil Nadu,Verified
TXN00241,INV02147,100046,2024-08-28,SIP,246547,Gujarat,Verified
TXN00242,INV01167,100089,2024-12-08,SIP,262091,Gujarat,Verified
TXN00243,INV03968,100088,2024-11-16,SIP,435459,Karnataka,Verified
TXN00244,INV02531,100080,2024-08-19,SIP,377100,Karnataka,Verified
TXN00245,INV03204,100038,2025-05-18,Lumpsum,342764,Telangana,Verified
TXN00246,INV01525,100050,2025-11-29,Redemption,322945,Delhi,Verified
TXN00247,INV04444,100048,2025-01-06,SIP,237432,Delhi,Verified
TXN00248,INV03301,100081,2024-02-05,Lumpsum,4547,Karnataka,Verified
TXN00249,INV04167,100050,2024-03-05,Lumpsum,241300,Delhi,Verified
TXN00250,INV04518,100039,2024-06-02,SIP,320777,Tamil Nadu,Verified
TXN00251,INV02742,100034,2024-05-31,SIP,472321,Tamil Nadu,Verified
TXN00252,INV00304,100126,2025-08-28,SIP,440657,Telangana,Verified
TXN00253,INV02118,100078,2024-01-23,SIP,258901,Delhi,Verified
TXN00254,INV01994,100129,2025-03-30,SIP,105100,Tamil Nadu,Verified
TXN00255,INV04847,100040,2024-04-17,Lumpsum,384707,Tamil Nadu,Verified
TXN00256,INV01535,100084,2025-03-09,SIP,251826,Tamil Nadu,Verified
TXN00257,INV00619,100081,2024-09-05,Lumpsum,246835,Telangana,Verified
TXN00258,INV00896,100126,2025-03-18,Lumpsum,291150,Karnataka,Verified
TXN00259,INV04043,100038,2024-05-23,Lumpsum,241752,Gujarat,Verified
TXN00260,INV04680,100125,2025-10-01,SIP,440606,Gujarat,Verified
TXN00261,INV02691,100064,2025-02-01,SIP,115902,Gujarat,Verified
TXN00262,INV00771,100126,2024-12-24,SIP,320423,Tamil Nadu,Verified
TXN00263,INV03946,100082,2025-02-05,SIP,451504,Gujarat,Verified
TXN00264,INV00219,100047,2025-09-07,SIP,155831,Delhi,Verified
TXN00265,INV01915,100042,2025-05-07,Lumpsum,318884,Telangana,Verified
TXN00266,INV03651,100119,2024-03-30,SIP,160264,Gujarat,Verified
TXN00267,INV03336,100034,2025-03-27,SIP,334273,Tamil Nadu,Verified
TXN00268,INV02181,100043,2024-07-06,Lumpsum,248477,Delhi,Verified
TXN00269,INV03106,100126,2024-09-12,SIP,459700,Gujarat,Verified
TXN00270,INV02083,100079,2024-10-20,Lumpsum,289646,Telangana,Verified
TXN00271,INV00947,100034,2024-12-30,Lumpsum,187585,Delhi,Verified
TXN00272,INV02327,100086,2024-07-29,SIP,272066,Delhi,Verified
TXN00273,INV02518,100088,2025-12-29,SIP,409223,Tamil Nadu,Verified
TXN00274,INV00376,100120,2025-06-25,SIP,164441,Telangana,Verified
TXN00275,INV03355,100085,2025-09-14,Lumpsum,491012,Karnataka,Verified
TXN00276,INV01108,100079,2025-11-11,SIP,369756,Delhi,Verified
TXN00277,INV04484,100046,2025-03-24,SIP,398996,Delhi,Verified
TXN00278,INV00407,100082,2025-04-15,SIP,114948,Telangana,Verified
TXN00279,INV03345,100126,2024-10-20,Redemption,303852,Karnataka,Verified
TXN00280,INV00949,100124,2024-09-03,SIP,489975,Maharashtra,Verified
TXN00281,INV02551,100051,2024-05-12,SIP,299169,Delhi,Verified
TXN00282,INV03794,100041,2025-07-26,SIP,312729,Telangana,Verified
TXN00283,INV02151,100033,2025-07-18,SIP,53840,Telangana,Verified
TXN00284,INV04510,100126,2025-09-18,SIP,176533,Maharashtra,Verified
TXN00285,INV00339,100039,2025-12-15,SIP,304371,Gujarat,Verified
TXN00286,INV00530,100037,2024-06-08,SIP,145559,Telangana,Verified
TXN00287,INV03040,100088,2025-07-11,Redemption,132695,Tamil Nadu,Verified
TXN00288,INV01803,100126,2024-09-05,Redemption,83636,Tamil Nadu,Verified
TXN00289,INV02300,100088,2025-01-04,Redemption,448042,Maharashtra,Verified
TXN00290,INV02561,100043,2025-09-18,SIP,86936,Telangana,Verified
TXN00291,INV02592,100129,2025-06-27,SIP,164982,Tamil Nadu,Verified
TXN00292,INV00656,100058,2025-01-31,SIP,398657,Tamil Nadu,Verified
TXN00293,INV00425,100064,2025-11-16,SIP,86129,Delhi,Verified
TXN00294,INV00967,100046,2025-05-19,Lumpsum,395253,Delhi,Verified
TXN00295,INV01809,100063,2025-05-26,SIP,318245,Gujarat,Verified
TXN00296,INV04848,100129,2025-08-13,SIP,413999,Karnataka,Verified
TXN00297,INV00546,100088,2024-02-11,Lumpsum,94014,Telangana,Verified
TXN00298,INV01105,100128,2024-06-17,Redemption,9524,Tamil Nadu,Verified
TXN00299,INV04802,100089,2025-03-17,SIP,217609,Telangana,Verified
TXN00300,INV04322,100047,2025-11-19,SIP,480560,Karnataka,Verified
TXN00301,INV00985,100079,2025-10-19,SIP,132105,Delhi,Verified
TXN00302,INV04972,100124,2024-10-03,SIP,437802,Telangana,Verified
TXN00303,INV00065,100034,2024-10-01,SIP,108415,Maharashtra,Verified
TXN00304,INV03115,100085,2025-06-27,SIP,308724,Gujarat,Verified
TXN00305,INV00369,100046,2025-07-10,SIP,128175,Gujarat,Verified
TXN00306,INV02653,100089,2025-06-13,SIP,336149,Delhi,Verified
TXN00307,INV00044,100081,2024-11-30,Redemption,137684,Tamil Nadu,Verified
TXN00308,INV04330,100046,2024-09-11,SIP,429654,Tamil Nadu,Verified
TXN00309,INV03862,100120,2024-11-12,SIP,27035,Telangana,Verified
TXN00310,INV04510,100084,2024-12-11,SIP,296396,Gujarat,Verified
TXN00311,INV01010,100088,2024-04-24,SIP,251812,Gujarat,Verified
TXN00312,INV01583,100079,2024-10-23,Redemption,346297,Delhi,Verified
TXN00313,INV03287,100063,2024-03-26,Lumpsum,105784,Karnataka,Verified
TXN00314,INV01002,100064,2025-08-16,Lumpsum,281423,Delhi,Verified
TXN00315,INV00623,100124,2025-11-15,SIP,272232,Gujarat,Verified
TXN00316,INV02472,100034,2025-02-13,SIP,352876,Gujarat,Verified
TXN00317,INV03766,100043,2025-05-06,SIP,8887,Maharashtra,Verified
TXN00318,INV00131,100125,2025-12-16,SIP,81523,Delhi,Verified
TXN00319,INV02438,100119,2024-02-22,Lumpsum,225716,Telangana,Verified
TXN00320,INV04293,100050,2024-07-14,SIP,103506,Gujarat,Verified
TXN00321,INV01340,100127,2024-02-16,SIP,311949,Tamil Nadu,Verified
TXN00322,INV00223,100037,2025-03-03,SIP,484257,Tamil Nadu,Verified
TXN00323,INV01316,100048,2025-06-25,SIP,231216,Karnataka,Verified
TXN00324,INV00505,100125,2025-11-25,SIP,162785,Karnataka,Verified
TXN00325,INV04530,100041,2025-02-10,Lumpsum,490571,Karnataka,Verified
TXN00326,INV03996,100085,2024-06-15,Lumpsum,63978,Telangana,Verified
TXN00327,INV00546,100129,2025-09-07,SIP,107086,Karnataka,Verified
TXN00328,INV02779,100046,2025-07-08,Lumpsum,178477,Maharashtra,Verified
TXN00329,INV00390,100124,2024-05-14,Redemption,354585,Telangana,Verified
TXN00330,INV02205,100124,2024-07-27,SIP,475633,Karnataka,Verified
TXN00331,INV02495,100119,2025-11-10,Lumpsum,76219,Maharashtra,Verified
TXN00332,INV03899,100042,2024-03-29,SIP,41032,Delhi,Verified
TXN00333,INV03552,100044,2024-11-30,Lumpsum,304871,Telangana,Verified
TXN00334,INV02710,100088,2024-10-14,SIP,63264,Tamil Nadu,Verified
TXN00335,INV02243,100126,2024-03-30,Lumpsum,244895,Maharashtra,Verified
TXN00336,INV00304,100043,2025-04-19,SIP,455734,Telangana,Verified
TXN00337,INV00613,100120,2025-09-22,SIP,124899,Tamil Nadu,Verified
TXN00338,INV00522,100080,2025-05-21,Lumpsum,259946,Karnataka,Verified
TXN00339,INV02278,100046,2024-08-16,SIP,187060,Karnataka,Verified
TXN00340,INV03156,100077,2025-11-19,Lumpsum,452750,Gujarat,Verified
TXN00341,INV01160,100123,2025-01-16,Redemption,343886,Karnataka,Verified
TXN00342,INV00327,100077,2025-10-30,SIP,101123,Gujarat,Verified
TXN00343,INV04383,100041,2025-08-26,SIP,39550,Maharashtra,Verified
TXN00344,INV03350,100047,2024-10-27,Lumpsum,194868,Maharashtra,Verified
TXN00345,INV00420,100041,2025-08-16,SIP,404194,Tamil Nadu,Verified
TXN00346,INV02060,100080,2024-08-31,SIP,21393,Karnataka,Verified
TXN00347,INV03045,100046,2025-03-14,Lumpsum,241395,Telangana,Verified
TXN00348,INV00233,100081,2025-02-18,SIP,290113,Telangana,Verified
TXN00349,INV01088,100080,2024-01-10,SIP,492476,Tamil Nadu,Verified
TXN00350,INV01750,100078,2025-04-16,Lumpsum,324145,Delhi,Verified
TXN00351,INV03637,100042,2024-02-16,SIP,498807,Tamil Nadu,Verified
TXN00352,INV04210,100047,2025-01-03,SIP,150593,Delhi,Verified
TXN00353,INV01795,100127,2024-02-11,Redemption,36032,Delhi,Verified
TXN00354,INV00485,100034,2024-12-12,Lumpsum,125356,Delhi,Verified
