investor_id,state,amount,age,gender,city_tier
INV00054,Delhi,2490118,31,Female,T30
INV00055,Maharashtra,1250076,48,Female,T30
INV00056,Gujarat,646643,29,Male,B30
INV00057,Delhi,2151122,45,Female,T30
INV00058,Delhi,1703194,46,Female,T30
INV00059,Delhi,732176,40,Female,T30
INV00060,Delhi,1994577,33,Female,T30
INV00061,Maharashtra,1417894,66,Male,T30
INV00062,Delhi,2132453,37,Male,T30
INV00063,Delhi,1027510,56,Male,T30
INV00064,Telangana,1398359,32,Female,B30
INV00065,Gujarat,1801985,43,Female,B30
INV00066,Karnataka,1618053,24,Male,T30
INV00067,Delhi,573251,30,Female,T30
INV00068,Telangana,1027262,24,Male,B30
INV00069,Delhi,2594705,31,Male,T30
INV00070,Karnataka,2036408,55,Male,T30
INV00071,Gujarat,1584754,46,Female,B30
INV00072,Delhi,1980378,47,Male,T30
INV00073,Maharashtra,2555185,66,Female,T30
INV00074,Delhi,2061283,38,Female,T30
INV00075,Delhi,2519755,24,Female,T30
INV00076,Karnataka,1748344,69,Male,T30
INV00077,Karnataka,2074669,26,Female,T30
INV00078,Delhi,1723665,43,Female,T30
INV00079,Telangana,571292,56,Male,B30
INV00080,Maharashtra,1444749,44,Female,T30
INV00081,Delhi,3088347,66,Male,T30
INV00082,Gujarat,1493622,22,Male,B30
INV00083,Tamil Nadu,2095239,21,Female,T30
INV00084,Delhi,2094604,25,Female,T30
INV00085,Maharashtra,1000200,50,Female,T30
INV00086,Karnataka,1963872,60,Male,T30
INV00087,Karnataka,1935212,45,Female,T30
INV00088,Gujarat,823037,35,Male,B30
INV00089,Telangana,1474361,25,Male,B30
INV00090,Karnataka,1739030,36,Female,T30
INV00091,Delhi,1129617,66,Female,T30
INV00092,Gujarat,1246542,21,Female,B30
INV00093,Gujarat,380035,39,Female,B30
INV00094,Delhi,871524,47,Female,T30
INV00095,Karnataka,696994,30,Male,T30
INV00096,Delhi,1339190,27,Female,T30
INV00097,Delhi,1395086,67,Male,T30
INV00098,Delhi,1429406,52,Female,T30
INV00099,Maharashtra,918680,25,Female,T30
INV00100,Maharashtra,1799084,27,Female,T30
INV00101,Gujarat,880897,28,Female,B30
INV00102,Tamil Nadu,969558,54,Male,T30
INV00103,Telangana,1296956,41,Female,B30
INV00104,Delhi,2082831,42,Male,T30
INV00105,Karnataka,2229596,23,Female,T30
INV00106,Maharashtra,1222025,44,Male,T30
INV00107,Delhi,1328462,29,Male,T30
INV00108,Delhi,1259533,56,Male,T30
INV00109,Karnataka,1686752,62,Male,T30
INV00110,Gujarat,313250,21,Male,B30
INV00111,Karnataka,1182220,61,Male,T30
INV00112,Delhi,1863041,64,Female,T30
INV00113,Telangana,838009,65,Male,B30
INV00114,Karnataka,1421617,64,Male,T30
INV00115,Gujarat,1147945,33,Female,B30
INV00116,Karnataka,1389575,42,Female,T30
INV00117,Maharashtra,2740873,68,Male,T30
INV00118,Karnataka,2036979,41,Female,T30
INV00119,Gujarat,959343,23,Female,B30
INV00120,Telangana,551399,39,Male,B30
INV00121,Telangana,2275628,61,Male,B30
INV00122,Gujarat,2134670,28,Male,B30
INV00123,Karnataka,287068,41,Male,T30
INV00124,Karnataka,2107889,68,Male,T30
INV00125,Gujarat,1278146,27,Male,B30
INV00126,Delhi,1266645,46,Male,T30
INV00127,Delhi,3283632,64,Female,T30
INV00128,Karnataka,612556,48,Female,T30
INV00129,Delhi,2122756,24,Male,T30
INV00130,Maharashtra,2552772,65,Male,T30
INV00131,Delhi,1203614,35,Female,T30
INV00132,Tamil Nadu,1380218,30,Male,T30
INV00133,Delhi,1124952,33,Female,T30
INV00134,Delhi,1182046,38,Female,T30
INV00135,Gujarat,1283625,28,Male,B30
INV00136,Maharashtra,683930,36,Male,T30
INV00137,Gujarat,2080200,33,Male,B30
INV00138,Delhi,3295430,67,Male,T30
INV00139,Maharashtra,1294702,63,Male,T30
INV00140,Gujarat,2093484,50,Male,B30
INV00141,Telangana,1898689,46,Male,B30
INV00142,Karnataka,2080288,41,Male,T30
INV00143,Gujarat,1207653,32,Female,B30
INV00144,Delhi,1311857,28,Male,T30
INV00145,Telangana,1502348,30,Male,B30
INV00146,Delhi,2759933,48,Male,T30
INV00147,Telangana,1380480,55,Female,B30
INV00148,Gujarat,2560048,33,Female,B30
INV00149,Karnataka,1618303,38,Female,T30
INV00150,Tamil Nadu,2690901,68,Male,T30
INV00151,Gujarat,1236556,28,Female,B30
INV00152,Delhi,1214639,32,Female,T30
INV00153,Delhi,2194245,23,Male,T30
INV00154,Karnataka,1140538,61,Female,T30
INV00155,Tamil Nadu,1116236,46,Female,T30
INV00156,Gujarat,1017237,49,Female,B30
INV00157,Tamil Nadu,2280972,51,Male,T30
INV00158,Gujarat,1828735,60,Male,B30
INV00159,Karnataka,1028239,30,Female,T30
INV00160,Karnataka,2493502,59,Male,T30
INV00161,Maharashtra,3266605,67,Male,T30
INV00162,Maharashtra,2133942,31,Female,T30
INV00163,Telangana,2123697,52,Male,B30
INV00164,Karnataka,1919687,49,Female,T30
INV00165,Tamil Nadu,1042747,21,Male,T30
INV00166,Gujarat,754538,44,Male,B30
INV00167,Maharashtra,1232369,36,Female,T30
INV00168,Tamil Nadu,1311546,48,Female,T30
INV00169,Delhi,1261930,50,Female,T30
INV00170,Delhi,692250,57,Female,T30
INV00171,Tamil Nadu,2777632,61,Male,T30
INV00172,Karnataka,537984,27,Female,T30
INV00173,Tamil Nadu,1402219,67,Male,T30
INV00174,Gujarat,1968285,52,Female,B30
INV00175,Gujarat,871521,50,Female,B30
INV00176,Delhi,741165,48,Female,T30
INV00177,Gujarat,1001482,63,Female,B30
INV00178,Delhi,367309,59,Female,T30
INV00179,Delhi,1337004,32,Male,T30
INV00180,Tamil Nadu,1501578,38,Female,T30
INV00181,Maharashtra,2230397,21,Female,T30
INV00182,Gujarat,1302685,42,Male,B30
INV00183,Gujarat,542627,31,Female,B30
INV00184,Gujarat,494108,64,Male,B30
INV00185,Tamil Nadu,1359305,60,Male,T30
INV00186,Delhi,2233804,68,Male,T30
INV00187,Delhi,1738069,52,Female,T30
INV00188,Delhi,1301299,26,Male,T30
INV00189,Karnataka,1350068,58,Female,T30
INV00190,Tamil Nadu,3439932,44,Male,T30
INV00191,Gujarat,2815177,21,Female,B30
INV00192,Delhi,696455,29,Male,T30
INV00193,Maharashtra,1381156,24,Male,T30
INV00194,Gujarat,2317358,60,Female,B30
INV00195,Delhi,1865497,27,Female,T30
INV00196,Delhi,1058533,52,Female,T30
INV00197,Maharashtra,3092200,45,Female,T30
INV00198,Telangana,2296618,28,Female,B30
INV00199,Gujarat,418450,26,Female,B30
INV00200,Delhi,1466012,56,Female,T30
INV00201,Maharashtra,1809482,66,Male,T30
INV00202,Telangana,1167147,43,Female,B30
INV00203,Gujarat,1234839,58,Male,B30
INV00204,Delhi,550760,59,Male,T30
INV00205,Gujarat,1164384,55,Female,B30
INV00206,Karnataka,2230161,69,Female,T30
INV00207,Gujarat,1670009,31,Female,B30
INV00208,Karnataka,1750797,59,Male,T30
INV00209,Karnataka,938658,70,Female,T30
INV00210,Karnataka,2021727,69,Female,T30
INV00211,Gujarat,581927,28,Male,B30
INV00212,Gujarat,1618904,39,Female,B30
INV00213,Gujarat,2079731,49,Male,B30
INV00214,Delhi,697083,45,Female,T30
INV00215,Telangana,1317584,41,Female,B30
INV00216,Delhi,2157702,42,Female,T30
INV00217,Tamil Nadu,1727209,44,Male,T30
INV00218,Delhi,1648842,45,Male,T30
INV00219,Karnataka,722500,57,Female,T30
INV00220,Telangana,3042542,52,Male,B30
INV00221,Gujarat,780649,44,Female,B30
INV00222,Maharashtra,796786,70,Female,T30
INV00223,Telangana,1329781,48,Male,B30
INV00224,Maharashtra,1090841,37,Male,T30
INV00225,Maharashtra,1525342,49,Female,T30
INV00226,Karnataka,729572,51,Female,T30
INV00227,Telangana,2180527,22,Male,B30
INV00228,Karnataka,1145060,61,Male,T30
INV00229,Telangana,885878,25,Female,B30
INV00230,Gujarat,819722,62,Female,B30
INV00231,Delhi,2221248,31,Male,T30
INV00232,Gujarat,860490,33,Male,B30
INV00233,Maharashtra,1641276,22,Male,T30
INV00234,Gujarat,3467826,48,Male,B30
INV00235,Gujarat,626070,69,Female,B30
INV00236,Gujarat,1866323,57,Male,B30
INV00237,Tamil Nadu,1421704,27,Female,T30
INV00238,Delhi,1833170,60,Female,T30
INV00239,Delhi,1117349,59,Female,T30
INV00240,Gujarat,1888604,36,Female,B30
INV00241,Delhi,874644,30,Male,T30
INV00242,Delhi,1306598,40,Male,T30
INV00243,Delhi,668238,42,Female,T30
INV00244,Telangana,1301653,55,Female,B30
INV00245,Delhi,1009769,58,Male,T30
INV00246,Delhi,883735,53,Male,T30
INV00247,Delhi,931052,26,Female,T30
INV00248,Maharashtra,1966359,43,Female,T30
INV00249,Gujarat,2007842,25,Male,B30
INV00250,Gujarat,1618726,60,Male,B30
INV00251,Telangana,1387753,51,Female,B30
INV00252,Delhi,1890286,49,Male,T30
INV00253,Karnataka,2506130,23,Male,T30
INV00254,Maharashtra,1742299,68,Female,T30
INV00255,Maharashtra,1615122,66,Female,T30
INV00256,Gujarat,1446111,44,Female,B30
INV00257,Maharashtra,2462366,69,Male,T30
INV00258,Delhi,1268862,57,Female,T30
INV00259,Delhi,1143622,58,Male,T30
INV00260,Gujarat,2931916,56,Male,B30
INV00261,Maharashtra,755613,48,Male,T30
INV00262,Telangana,1992246,52,Male,B30
INV00263,Telangana,3163840,63,Male,B30
INV00264,Karnataka,1637414,60,Male,T30
INV00265,Gujarat,959922,66,Male,B30
INV00266,Karnataka,1763867,29,Male,T30
INV00267,Tamil Nadu,1158600,32,Male,T30
INV00268,Tamil Nadu,1057717,67,Female,T30
INV00269,Tamil Nadu,2400342,61,Male,T30
INV00270,Telangana,3376604,60,Female,B30
INV00271,Tamil Nadu,474667,29,Male,T30
INV00272,Delhi,1139655,24,Male,T30
INV00273,Telangana,1910786,56,Female,B30
INV00274,Delhi,838303,34,Female,T30
INV00275,Telangana,915517,59,Male,B30
INV00276,Maharashtra,911184,24,Male,T30
INV00277,Delhi,1220654,41,Female,T30
INV00278,Gujarat,1691026,67,Female,B30
INV00279,Maharashtra,1481858,41,Male,T30
INV00280,Karnataka,1255600,67,Female,T30
INV00281,Gujarat,3243714,61,Female,B30
INV00282,Maharashtra,1725961,61,Female,T30
INV00283,Telangana,1626465,31,Female,B30
INV00284,Delhi,1587819,31,Male,T30
INV00285,Karnataka,2402567,47,Male,T30
INV00286,Karnataka,1550804,35,Female,T30
INV00287,Karnataka,1919678,69,Male,T30
INV00288,Delhi,2125474,34,Female,T30
INV00289,Maharashtra,1945370,65,Male,T30
INV00290,Gujarat,1234517,38,Male,B30
INV00291,Delhi,1875544,44,Male,T30
INV00292,Karnataka,1864677,43,Female,T30
INV00293,Karnataka,1068672,28,Male,T30
INV00294,Delhi,1353811,69,Male,T30
INV00295,Gujarat,2431686,48,Male,B30
INV00296,Gujarat,841026,32,Male,B30
INV00297,Maharashtra,1286807,45,Female,T30
INV00298,Delhi,607798,31,Female,T30
INV00299,Delhi,772156,65,Male,T30
INV00300,Karnataka,2690812,21,Male,T30
INV00301,Telangana,791648,62,Male,B30
INV00302,Delhi,1740417,38,Female,T30
INV00303,Gujarat,1070502,47,Female,B30
INV00304,Gujarat,2748341,43,Female,B30
INV00305,Maharashtra,2738706,57,Female,T30
INV00306,Delhi,1544871,68,Male,T30
INV00307,Delhi,1918899,68,Male,T30
INV00308,Delhi,2426599,21,Male,T30
INV00309,Gujarat,1086257,23,Female,B30
INV00310,Tamil Nadu,1873019,69,Male,T30
INV00311,Tamil Nadu,2048019,26,Female,T30
INV00312,Karnataka,1129068,53,Male,T30
INV00313,Maharashtra,1929969,40,Female,T30
INV00314,Delhi,991930,54,Female,T30
INV00315,Delhi,1914784,66,Female,T30
INV00316,Maharashtra,2134675,21,Male,T30
INV00317,Telangana,2402675,51,Female,B30
INV00318,Telangana,1225507,28,Female,B30
INV00319,Karnataka,1998038,60,Female,T30
INV00320,Delhi,1346999,42,Male,T30
INV00321,Tamil Nadu,1366827,36,Female,T30
INV00322,Gujarat,3112908,36,Male,B30
INV00323,Gujarat,910769,51,Male,B30
INV00324,Gujarat,1111290,42,Female,B30
INV00325,Tamil Nadu,2394277,62,Male,T30
INV00326,Karnataka,970527,56,Female,T30
INV00327,Delhi,2649859,26,Female,T30
INV00328,Maharashtra,2911631,21,Female,T30
INV00329,Delhi,1189623,22,Female,T30
INV00330,Karnataka,1030052,69,Female,T30
INV00331,Maharashtra,754639,34,Female,T30
INV00332,Maharashtra,23088,27,Male,T30
INV00333,Telangana,728621,41,Male,B30
INV00334,Gujarat,1695052,58,Female,B30
INV00335,Karnataka,1421695,41,Female,T30
INV00336,Telangana,1847454,55,Male,B30
INV00337,Telangana,1533251,41,Male,B30
INV00338,Delhi,1146691,58,Male,T30
INV00339,Gujarat,1141179,30,Male,B30
INV00340,Telangana,1372249,64,Male,B30
INV00341,Telangana,1504812,37,Female,B30
INV00342,Delhi,1027481,35,Female,T30
INV00343,Delhi,2861784,43,Male,T30
INV00344,Tamil Nadu,1095432,62,Male,T30
INV00345,Karnataka,522578,48,Male,T30
INV00346,Karnataka,472146,69,Female,T30
INV00347,Maharashtra,1240417,55,Female,T30
INV00348,Karnataka,1019005,21,Male,T30
INV00349,Delhi,523607,37,Female,T30
INV00350,Maharashtra,1323855,58,Female,T30
INV00351,Maharashtra,882760,67,Female,T30
INV00352,Gujarat,1892359,38,Female,B30
INV00353,Tamil Nadu,1713942,48,Male,T30
INV00354,Tamil Nadu,2219909,45,Female,T30
INV00355,Delhi,1415690,38,Male,T30
INV00356,Gujarat,450488,35,Female,B30
INV00357,Gujarat,2454306,32,Male,B30
INV00358,Gujarat,1485906,28,Female,B30
INV00359,Tamil Nadu,1707577,62,Male,T30
INV00360,Karnataka,1309711,36,Female,T30
INV00361,Tamil Nadu,1228596,64,Female,T30
INV00362,Gujarat,2102441,32,Male,B30
INV00363,Delhi,1461518,61,Female,T30
INV00364,Gujarat,2023694,38,Male,B30
INV00365,Gujarat,1082129,23,Male,B30
INV00366,Gujarat,1649107,37,Female,B30
INV00367,Telangana,1461707,43,Male,B30
INV00368,Delhi,1313952,41,Female,T30
INV00369,Delhi,2919953,60,Male,T30
INV00370,Delhi,815851,66,Male,T30
INV00371,Telangana,964611,63,Female,B30
INV00372,Maharashtra,2376355,25,Female,T30
INV00373,Telangana,1299508,58,Female,B30
INV00374,Delhi,1572933,23,Male,T30
INV00375,Delhi,1228671,27,Male,T30
INV00376,Gujarat,1679788,54,Female,B30
INV00377,Telangana,394846,25,Female,B30
INV00378,Telangana,3045525,38,Male,B30
INV00379,Maharashtra,1957108,65,Female,T30
INV00380,Delhi,2181425,66,Female,T30
INV00381,Delhi,323881,25,Male,T30
INV00382,Gujarat,1179833,34,Male,B30
INV00383,Gujarat,1336935,37,Male,B30
INV00384,Gujarat,1433168,70,Female,B30
INV00385,Gujarat,2458592,53,Male,B30
INV00386,Karnataka,1399358,55,Female,T30
INV00387,Telangana,1708611,36,Male,B30
INV00388,Delhi,2353667,66,Female,T30
INV00389,Tamil Nadu,684282,63,Female,T30
INV00390,Telangana,1019753,42,Female,B30
INV00391,Karnataka,3359143,41,Male,T30
INV00392,Delhi,1313580,24,Female,T30
INV00393,Gujarat,1824814,24,Female,B30
INV00394,Delhi,2109744,25,Female,T30
INV00395,Telangana,1930730,36,Male,B30
INV00396,Maharashtra,1074477,40,Male,T30
INV00397,Gujarat,1505079,49,Male,B30
INV00398,Telangana,889831,38,Male,B30
INV00399,Gujarat,669035,25,Male,B30
INV00400,Karnataka,2101535,30,Male,T30
INV00401,Gujarat,1704653,53,Female,B30
INV00402,Gujarat,2190920,61,Male,B30
INV00403,Gujarat,2853040,50,Female,B30
INV00404,Gujarat,819681,51,Male,B30
INV00405,Tamil Nadu,2938225,52,Female,T30
INV00406,Gujarat,1111732,57,Male,B30
INV00407,Telangana,2893183,21,Male,B30
INV00408,Maharashtra,1032645,35,Male,T30
INV00409,Gujarat,1083527,61,Male,B30
INV00410,Delhi,1017241,23,Male,T30
INV00411,Karnataka,1688070,55,Male,T30
INV00412,Tamil Nadu,1324324,47,Male,T30
INV00413,Maharashtra,2650431,49,Male,T30
INV00414,Karnataka,1947753,53,Female,T30
INV00415,Karnataka,1853785,53,Male,T30
INV00416,Maharashtra,351337,62,Male,T30
INV00417,Gujarat,1030794,30,Female,B30
INV00418,Tamil Nadu,1824355,63,Male,T30
INV00419,Telangana,2972253,68,Male,B30
INV00420,Maharashtra,1126197,30,Female,T30
INV00421,Karnataka,1761453,70,Male,T30
INV00422,Gujarat,1760450,53,Male,B30
INV00423,Karnataka,920515,25,Female,T30
INV00424,Gujarat,1383946,37,Male,B30
INV00425,Delhi,1972064,37,Male,T30
INV00426,Telangana,2964558,37,Male,B30
INV00427,Karnataka,2311491,54,Male,T30
INV00428,Gujarat,999907,30,Female,B30
INV00429,Delhi,2326625,63,Male,T30
INV00430,Tamil Nadu,1491707,21,Female,T30
INV00431,Maharashtra,1654018,29,Female,T30
INV00432,Karnataka,2732193,28,Male,T30
INV00433,Telangana,2135725,29,Male,B30
INV00434,Delhi,680342,42,Female,T30
INV00435,Karnataka,1984007,51,Female,T30
INV00436,Delhi,2132165,55,Male,T30
INV00437,Delhi,1558862,35,Male,T30
INV00438,Karnataka,1426893,65,Male,T30
INV00439,Maharashtra,2608087,35,Male,T30
INV00440,Telangana,2382999,25,Male,B30
INV00441,Gujarat,2272752,26,Male,B30
INV00442,Gujarat,1172837,60,Male,B30
INV00443,Delhi,2300640,69,Male,T30
INV00444,Gujarat,1407745,61,Male,B30
INV00445,Maharashtra,1852917,62,Male,T30
INV00446,Karnataka,1170432,60,Male,T30
INV00447,Maharashtra,2368124,45,Female,T30
INV00448,Delhi,1022578,37,Female,T30
INV00449,Gujarat,1274112,64,Female,B30
INV00450,Gujarat,2226085,28,Male,B30
INV00451,Delhi,2134925,41,Female,T30
INV00452,Karnataka,598700,53,Male,T30
INV00453,Delhi,2120183,53,Female,T30
INV00454,Delhi,744329,34,Female,T30
INV00455,Delhi,1861886,31,Female,T30
INV00456,Gujarat,1892779,69,Female,B30
INV00457,Karnataka,783006,54,Female,T30
INV00458,Tamil Nadu,1256170,22,Female,T30
INV00459,Gujarat,3042848,62,Male,B30
INV00460,Tamil Nadu,690185,33,Female,T30
INV00461,Delhi,292885,28,Male,T30
INV00462,Gujarat,2333353,25,Female,B30
INV00463,Delhi,4386266,42,Male,T30
INV00464,Tamil Nadu,82456,55,Female,T30
INV00465,Telangana,1178298,35,Female,B30
INV00466,Tamil Nadu,1262372,43,Male,T30
INV00467,Tamil Nadu,905928,26,Male,T30
INV00468,Gujarat,3394540,69,Male,B30
INV00469,Gujarat,2173056,46,Male,B30
INV00470,Delhi,1113517,46,Female,T30
INV00471,Tamil Nadu,1053466,57,Male,T30
INV00472,Maharashtra,1798305,63,Female,T30
INV00473,Karnataka,354088,27,Female,T30
INV00474,Telangana,1773628,56,Male,B30
INV00475,Maharashtra,909495,34,Male,T30
INV00476,Delhi,777620,33,Male,T30
INV00477,Delhi,1081682,70,Female,T30
INV00478,Delhi,1690570,39,Male,T30
INV00479,Delhi,2425192,67,Male,T30
INV00480,Karnataka,1842469,52,Male,T30
INV00481,Karnataka,1975862,66,Female,T30
INV00482,Delhi,2822308,60,Female,T30
INV00483,Karnataka,1932364,37,Female,T30
INV00484,Karnataka,828040,28,Female,T30
INV00485,Tamil Nadu,2084247,30,Male,T30
INV00486,Karnataka,1361252,66,Male,T30
INV00487,Karnataka,2130152,43,Female,T30
INV00488,Gujarat,880141,24,Male,B30
INV00489,Karnataka,2124721,49,Female,T30
INV00490,Telangana,2025099,41,Female,B30
INV00491,Maharashtra,1588680,42,Female,T30
INV00492,Gujarat,1606131,37,Female,B30
INV00493,Delhi,539237,60,Female,T30
INV00494,Gujarat,755471,69,Female,B30
INV00495,Karnataka,1513892,53,Female,T30
INV00496,Gujarat,1652356,48,Female,B30
INV00497,Karnataka,795483,68,Male,T30
INV00498,Gujarat,1660085,53,Male,B30
INV00499,Gujarat,1019603,62,Male,B30
INV00500,Delhi,1937533,63,Female,T30
INV00501,Delhi,634726,68,Male,T30
INV00502,Delhi,739760,61,Male,T30
INV00503,Karnataka,1613516,22,Female,T30
INV00504,Karnataka,951596,65,Female,T30
INV00505,Maharashtra,1291293,59,Female,T30
INV00506,Gujarat,859577,29,Female,B30
INV00507,Gujarat,1760408,64,Female,B30
INV00508,Tamil Nadu,1693922,37,Male,T30
INV00509,Tamil Nadu,544152,23,Female,T30
INV00510,Karnataka,1475290,31,Male,T30
INV00511,Gujarat,2253784,41,Female,B30
INV00512,Maharashtra,2748264,40,Female,T30
INV00513,Maharashtra,1615184,67,Female,T30
INV00514,Delhi,617527,39,Male,T30
INV00515,Delhi,1608821,38,Male,T30
INV00516,Karnataka,1424925,21,Female,T30
INV00517,Karnataka,1019728,28,Female,T30
INV00518,Karnataka,1649825,35,Male,T30
INV00519,Tamil Nadu,1346120,36,Female,T30
INV00520,Karnataka,1354956,68,Female,T30
INV00521,Karnataka,2490167,51,Male,T30
INV00522,Gujarat,712369,42,Female,B30
INV00523,Tamil Nadu,2476321,43,Female,T30
INV00524,Gujarat,145243,61,Male,B30
INV00525,Delhi,1719095,38,Male,T30
INV00526,Karnataka,1923483,38,Female,T30
INV00527,Maharashtra,1183652,39,Female,T30
INV00528,Maharashtra,1779104,66,Female,T30
INV00529,Karnataka,1086610,28,Female,T30
INV00530,Gujarat,1741871,39,Female,B30
INV00531,Gujarat,396111,64,Female,B30
INV00532,Delhi,1183497,29,Female,T30
INV00533,Gujarat,264333,63,Male,B30
INV00534,Tamil Nadu,2026129,38,Male,T30
INV00535,Telangana,1005763,67,Male,B30
INV00536,Gujarat,670392,42,Female,B30
INV00537,Tamil Nadu,2016945,28,Female,T30
INV00538,Karnataka,664793,22,Male,T30
INV00539,Maharashtra,1101744,65,Female,T30
INV00540,Karnataka,2070935,54,Female,T30
INV00541,Maharashtra,3215183,64,Male,T30
INV00542,Maharashtra,1884771,44,Male,T30
INV00543,Delhi,341300,57,Male,T30
INV00544,Delhi,994991,46,Female,T30
INV00545,Delhi,346691,64,Male,T30
INV00546,Telangana,1436917,70,Female,B30
INV00547,Gujarat,1604182,43,Female,B30
INV00548,Maharashtra,1435069,51,Female,T30
INV00549,Gujarat,654773,57,Male,B30
INV00550,Maharashtra,2508406,62,Male,T30
INV00551,Delhi,899021,45,Male,T30
INV00552,Gujarat,1396153,42,Male,B30
INV00553,Delhi,536888,28,Male,T30
INV00554,Maharashtra,1294728,56,Female,T30
INV00555,Karnataka,666310,59,Female,T30
INV00556,Karnataka,779950,47,Male,T30
INV00557,Telangana,1609422,31,Female,B30
INV00558,Delhi,768519,50,Male,T30
INV00559,Gujarat,552325,41,Female,B30
INV00560,Gujarat,589347,36,Male,B30
INV00561,Delhi,3483012,63,Female,T30
INV00562,Gujarat,425909,65,Male,B30
INV00563,Gujarat,2298585,46,Female,B30
INV00564,Karnataka,728376,63,Female,T30
INV00565,Karnataka,556999,36,Male,T30
INV00566,Maharashtra,1078629,68,Female,T30
INV00567,Maharashtra,2070459,21,Male,T30
INV00568,Delhi,1225696,61,Female,T30
INV00569,Karnataka,920454,55,Male,T30
INV00570,Karnataka,1193761,31,Female,T30
INV00571,Telangana,2345283,62,Female,B30
INV00572,Gujarat,879724,23,Male,B30
INV00573,Delhi,1804795,64,Female,T30
INV00574,Delhi,1462558,25,Male,T30
INV00575,Gujarat,2035734,70,Female,B30
INV00576,Delhi,220079,27,Male,T30
INV00577,Karnataka,1903860,35,Female,T30
INV00578,Telangana,2455249,49,Male,B30
INV00579,Maharashtra,1840391,24,Male,T30
INV00580,Maharashtra,1523282,24,Male,T30
INV00581,Gujarat,1053773,58,Male,B30
INV00582,Gujarat,1003838,61,Female,B30
INV00583,Delhi,1381776,33,Male,T30
INV00584,Tamil Nadu,1586730,67,Male,T30
INV00585,Telangana,2217209,57,Male,B30
INV00586,Delhi,1293459,46,Male,T30
INV00587,Delhi,422601,40,Male,T30
INV00588,Delhi,1162050,53,Female,T30
INV00589,Gujarat,2172575,63,Male,B30
INV00590,Delhi,624606,24,Female,T30
INV00591,Maharashtra,283263,60,Male,T30
INV00592,Maharashtra,550137,39,Female,T30
INV00593,Maharashtra,1405194,61,Female,T30
INV00594,Gujarat,1594698,48,Male,B30
INV00595,Delhi,1069207,37,Male,T30
INV00596,Maharashtra,1598068,25,Male,T30
INV00597,Delhi,394155,61,Female,T30
INV00598,Delhi,387736,23,Male,T30
INV00599,Tamil Nadu,2034496,50,Female,T30
INV00600,Tamil Nadu,3303074,51,Male,T30
INV00601,Delhi,1357098,23,Female,T30
INV00602,Telangana,2179325,26,Female,B30
INV00603,Delhi,1808132,24,Male,T30
INV00604,Karnataka,447351,69,Female,T30
INV00605,Karnataka,1131550,63,Male,T30
INV00606,Delhi,1460031,70,Female,T30
INV00607,Telangana,1213014,66,Female,B30
INV00608,Karnataka,1305156,49,Female,T30
INV00609,Tamil Nadu,1504318,67,Male,T30
INV00610,Gujarat,1308300,44,Male,B30
